Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	HMPI97	C3037	HMP
HMPI102	HMPI98	HMPI103	HMPI103	HMPI99	HMPI103	HMPI103	HMPI102	HMPI104	HMPI99	HMPI104	HMPI100	HMPI101	HMPI99	HMPI102	HMPI100	HMPI103	HMPI103	HMPI101	HMPI104	E5001	HMP
HMPI107	HMPI109	HMPI109	HMPI105	HMPI106	HMPI105	HMPI109	HMPI107	HMPI108	HMPI108	HMPI108	HMPI105	HMPI106	HMPI105	HMPI106	HMPI109	HMPI106	HMPI109	HMPI109	HMPI105	E5002	HMP
HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	HMPI110	E5003	HMP
HMPI112	HMPI113	HMPI113	HMPI113	HMPI113	HMPI114	HMPI113	HMPI112	HMPI111	HMPI111	HMPI112	HMPI111	HMPI113	HMPI112	HMPI112	HMPI112	HMPI112	HMPI113	HMPI111	HMPI112	E5004	HMP
HMPI115	HMPI116	HMPI115	HMPI115	HMPI115	HMPI115	HMPI115	HMPI116	HMPI116	HMPI115	HMPI116	HMPI115	HMPI116	HMPI116	HMPI116	HMPI116	HMPI116	HMPI116	HMPI115	HMPI115	E5006	HMP
HMPI118	HMPI117	HMPI118	HMPI117	HMPI118	HMPI118	HMPI119	HMPI117	HMPI118	HMPI117	HMPI119	HMPI117	HMPI118	HMPI119	HMPI119	HMPI118	HMPI117	HMPI119	HMPI119	HMPI119	E5008	HMP
HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	HMPI120	E5009	HMP
HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	HMPI121	E5013	HMP
HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	HMPI122	E5019	HMP
HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	HMPI123	E5022	HMP
HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	HMPI124	E5023	HMP
HMPI127	HMPI130	HMPI129	HMPI127	HMPI130	HMPI128	HMPI129	HMPI125	HMPI127	HMPI129	HMPI125	HMPI130	HMPI130	HMPI129	HMPI129	HMPI130	HMPI129	HMPI128	HMPI125	HMPI131	H4001	HMP
HMPI132	HMPI132	HMPI133	HMPI132	HMPI132	HMPI132	HMPI133	HMPI133	HMPI133	HMPI133	HMPI132	HMPI132	HMPI133	HMPI133	HMPI132	HMPI132	HMPI132	HMPI133	HMPI132	HMPI133	H4004	HMP
HMPI134	HMPI134	HMPI135	HMPI134	HMPI134	HMPI136	HMPI135	HMPI136	HMPI136	HMPI136	HMPI135	HMPI134	HMPI136	HMPI134	HMPI135	HMPI134	HMPI134	HMPI135	HMPI135	HMPI136	H4006	HMP
HMPI137	HMPI138	HMPI137	HMPI137	HMPI138	HMPI138	HMPI138	HMPI138	HMPI138	HMPI137	HMPI137	HMPI138	HMPI137	HMPI138	HMPI137	HMPI137	HMPI138	HMPI138	HMPI137	HMPI137	H4007	HMP
HMPI142	HMPI145	HMPI150	HMPI144	HMPI146	HMPI150	HMPI145	HMPI145	HMPI141	HMPI145	HMPI145	HMPI141	HMPI144	HMPI147	HMPI139	HMPI150	HMPI148	HMPI141	HMPI145	HMPI150	H4008	HMP
HMPI159	HMPI161	HMPI158	HMPI161	HMPI158	HMPI162	HMPI153	HMPI154	HMPI159	HMPI155	HMPI163	HMPI164	HMPI158	HMPI158	HMPI156	HMPI154	HMPI158	HMPI158	HMPI158	HMPI154	H4009	HMP
HMPI166	HMPI165	HMPI167	HMPI167	HMPI166	HMPI166	HMPI165	HMPI165	HMPI165	HMPI167	HMPI167	HMPI167	HMPI165	HMPI167	HMPI167	HMPI165	HMPI165	HMPI165	HMPI165	HMPI166	H4010	HMP
HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	HMPI168	H4011	HMP
HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	HMPI169	H4012	HMP
HMPI171	HMPI171	HMPI171	HMPI170	HMPI170	HMPI170	HMPI171	HMPI170	HMPI171	HMPI171	HMPI170	HMPI171	HMPI171	HMPI171	HMPI171	HMPI171	HMPI170	HMPI170	HMPI171	HMPI171	H4013	HMP
HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	HMPI172	H4014	HMP
HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	HMPI173	H4015	HMP
HMPI177	HMPI174	HMPI174	HMPI175	HMPI175	HMPI177	HMPI175	HMPI174	HMPI176	HMPI177	HMPI174	HMPI176	HMPI175	HMPI176	HMPI176	HMPI175	HMPI176	HMPI174	HMPI176	HMPI176	H4016	HMP
HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	HMPI178	H4018	HMP
HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	HMPI179	H4019	HMP
HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	HMPI180	H4020	HMP
HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	HMPI181	H4022	HMP
HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	HMPI182	H4023	HMP
HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	HMPI183	H4027	HMP
HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	HMPI184	H4028	HMP
HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	HMPI185	H4030	HMP
HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	HMPI186	H4031	HMP
HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	HMPI187	H4032	HMP
HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	HMPI188	H4035	HMP
HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	HMPI189	H4038	HMP
HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	HMPI190	H4040	HMP
HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	HMPI191	H4042	HMP
HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	HMPI192	H4044	HMP
HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	HMPI193	H4045	HMP
HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMPI279	HMP
HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMPI280	HMP
HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMPI281	HMP
HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMPI282	HMP
HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMPI283	HMP
HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMPI284	HMP
HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMPI285	HMP
HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMPI286	HMP
HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMPI287	HMP
HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMPI288	HMP
HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMPI289	HMP
HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMPI290	HMP
HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMPI291	HMP
HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMPI292	HMP
HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMPI293	HMP
HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMPI294	HMP
HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMPI295	HMP
HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMPI296	HMP
HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMPI297	HMP
HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMPI298	HMP
HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMPI299	HMP
HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMPI300	HMP
HMPI195	HMPI199	HMPI196	HMPI195	HMPI199	HMPI198	HMPI197	HMPI197	HMPI194	HMPI200	HMPI197	HMPI199	HMPI196	HMPI198	HMPI198	HMPI198	HMPI194	HMPI195	HMPI197	HMPI200	M2008	HMP
HMPI202	HMPI203	HMPI203	HMPI201	HMPI201	HMPI203	HMPI203	HMPI202	HMPI203	HMPI202	HMPI201	HMPI203	HMPI203	HMPI203	HMPI203	HMPI201	HMPI201	HMPI201	HMPI201	HMPI202	M2010	HMP
HMPI209	HMPI210	HMPI208	HMPI210	HMPI212	HMPI208	HMPI209	HMPI206	HMPI210	HMPI211	HMPI208	HMPI208	HMPI212	HMPI207	HMPI212	HMPI211	HMPI209	HMPI206	HMPI211	HMPI211	M2014	HMP
HMPI217	HMPI217	HMPI213	HMPI214	HMPI216	HMPI215	HMPI214	HMPI214	HMPI213	HMPI216	HMPI213	HMPI215	HMPI214	HMPI214	HMPI214	HMPI214	HMPI214	HMPI213	HMPI215	HMPI216	M2021	HMP
HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	HMPI218	M2024	HMP
HMPI219	HMPI221	HMPI219	HMPI220	HMPI219	HMPI219	HMPI221	HMPI223	HMPI220	HMPI223	HMPI221	HMPI222	HMPI220	HMPI222	HMPI222	HMPI223	HMPI219	HMPI220	HMPI220	HMPI219	M2025	HMP
HMPI225	HMPI227	HMPI226	HMPI224	HMPI227	HMPI227	HMPI228	HMPI225	HMPI227	HMPI228	HMPI224	HMPI227	HMPI226	HMPI228	HMPI224	HMPI228	HMPI224	HMPI224	HMPI224	HMPI228	M2026	HMP
HMPI229	HMPI233	HMPI230	HMPI230	HMPI229	HMPI230	HMPI231	HMPI233	HMPI233	HMPI231	HMPI229	HMPI232	HMPI233	HMPI230	HMPI231	HMPI230	HMPI230	HMPI233	HMPI232	HMPI233	M2027	HMP
HMPI234	HMPI236	HMPI235	HMPI234	HMPI235	HMPI235	HMPI234	HMPI235	HMPI236	HMPI235	HMPI234	HMPI235	HMPI235	HMPI234	HMPI235	HMPI236	HMPI236	HMPI236	HMPI235	HMPI235	M2028	HMP
HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	HMPI237	M2034	HMP
HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	HMPI238	M2039	HMP
HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	HMPI239	M2041	HMP
HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	HMPI240	M2042	HMP
HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	HMPI241	M2047	HMP
HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	HMPI242	M2058	HMP
HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	HMPI243	M2059	HMP
