SMPLID,DIR,RawInputSize,InputIsPaired,InputIsSingle,FilteredContaRdsPerc,Kraken_human,FilteredContaRds,FilteredNonContaRds,FilteredContaRdsPerc_EBI,FilteredContaRds_EBI,FilteredNonContaRds_EBI,totRds,Rejected1,Rejected2,Accepted1,Accepted2,Singl1,Singl2,AvgSeqLen,MaxSeqLength,AvgSeqQual,accErr,Merged,NotMerged,AvgGenomeSizeEst,TotalGenomesEst,ContigN50,NScaff400,NScaffG1k,NScaffG10k,NScaffG100k,NScaffG1M,ScaffN50,ScaffMaxSize,ScaffSize,CircCtgs,CircCtgG1M,ReadsPaired,AlignedReads,OverallAlignment,UniqueAlgned,MultAlign,DisconcAlign,SingleUniqAlign,SingleMultiAlign,OpticalDuplicates,PCRduplicates,PassedMD,EstLibSize,GeneNumber,AvgGeneLength,AvgComplGeneLength,BpGenes,BpNotGenes,Gcomplete,G5pComplete,G3pComplete,Gincomplete,HQ_bins_SB,MQ_bins_SB,HQ_bins_MB2,MQ_bins_MB2,HQ_bins_MD,MQ_bins_MD,HQ_bins_GF,MQ_bins_GF,SNP_TotalResolvedBp,SNP_fastaEntries,SNP_Num,SNP_Passed,SNP_resolved,INDEL_Num,INDEL_Passed
BD00039,1000IBD00039,-1,0,0,0.04;0.01,0.000352341,4139,11743005,2.29367E-05,552,24065706,24046926,518712,732673,11504751,11290790,0,0,99.7,101,36,0,,,,,3933,43702,13150,1029,10,0,3933,155104,71982695,0,0,,,,,,,,,15295,1789455,19774336,65031798,93860,688,887,64660255,7213968,43062,18014,18082,14702,3,4,,,,,,,0,0,0,0,0,0,0
BD00040,1000IBD00040,-1,0,0,1.54;0.93,0.014624867,142752,9618157,0.004865707,99504,20350556,20432488,900731,1176191,9315513,9040053,0,0,99.4,101,35.7,0,,,,,1731,63343,14889,557,27,0,1731,313762,76593474,0,0,,,,,,,,,13791,1034365,13972443,62638790,114489,591,815,67730703,8723918,37949,27263,27287,21990,4,1,,,,,,,0,0,0,0,0,0,0
BD00041,1000IBD00041,-1,0,0,0.04;0.01,0.000367713,4121,11202992,4.21076E-05,966,22940282,22919126,680846,564572,10778717,10894991,0,0,99.3,101,35.7,0,,,,,3400,48044,15467,985,17,0,3400,230004,78742562,0,0,,,,,,,,,12167,1769313,19724596,64279250,102948,686,872,70646079,7996982,46631,20883,20560,14874,6,1,,,,,,,0,0,0,0,0,0,0
BD00042,1000IBD00042,-1,0,0,8.03;5.64,0.078921797,796445,9295127,0.029208906,603982,20074026,20659114,420903,646145,9908654,9683412,0,0,99.9,101,36.1,0,,,,,2356,23603,6317,427,7,0,2356,139305,33594913,0,0,,,,,,,,,14028,2454299,16503188,34917150,45572,655,888,29854810,3687152,17170,10176,9955,8271,1,1,,,,,,,0,0,0,0,0,0,0
BD00043,1000IBD00043,-1,0,0,0.03;0.05,0.000358499,2816,7852160,6.17964E-05,994,16084090,16077944,367086,543329,7671886,7495643,0,0,100,101,36.6,0,,,,,2446,51601,15274,819,9,0,2446,198093,75300198,0,0,,,,,,,,,11329,725518,12190358,60796670,104820,637,844,66858456,8313138,41082,23759,23511,16468,5,2,,,,,,,0,0,0,0,0,0,0
BD00046,1000IBD00046,-1,0,0,0.03;0.01,0.000263362,2126,8070411,2.89732E-05,490,16911680,16897994,671403,1041143,7777594,7407854,0,0,99.6,101,35.9,0,,,,,2488,50204,15476,635,12,0,2488,196662,73026551,0,0,,,,,,,,,12576,822554,12766753,63006315,98159,662,879,65017735,7868272,37120,22501,22376,16162,3,3,,,,,,,0,0,0,0,0,0,0
BD00048,1000IBD00048,-1,0,0,0.03;0.00,0.000245392,2805,11427871,1.43296E-05,336,23447618,23429732,484651,905283,11230215,10809583,0,0,99.7,101,35.9,0,,,,,2548,65541,15785,1126,18,0,2548,369034,90700413,0,0,,,,,,,,,83110,2081836,17372265,45456562,125956,641,858,80783678,9765841,48624,26834,26516,23982,8,4,,,,,,,0,0,0,0,0,0,0
BD00049,1000IBD00049,-1,0,0,0.04;0.05,0.000381155,2471,6480459,7.32867E-05,974,13289294,13283784,337980,447213,6303912,6194679,0,0,99.9,101,36.5,0,,,,,3031,42004,15030,784,5,0,3031,166373,67832956,0,0,,,,,,,,,8537,601901,10092753,50640277,91874,650,819,59720767,7995694,39489,20297,19998,12090,2,3,,,,,,,0,0,0,0,0,0,0
BD00050,1000IBD00050,-1,0,0,0.15;0.09,0.001487163,19779,13280038,0.000546282,14952,27355552,27348914,881005,870703,12793452,12803754,0,0,99.3,101,35.6,0,,,,,1943,88731,24303,1097,15,0,1943,199987,116337861,0,0,,,,,,,,,18431,1648439,20323709,75251250,169224,613,827,103864599,12300833,60138,40349,39959,28778,6,4,,,,,,,0,0,0,0,0,0,0
BD00053,1000IBD00053,-1,0,0,0.03;0.01,0.000292813,2794,9539143,2.7135E-05,530,19531432,19515624,374064,664114,9383748,9093698,0,0,99.8,101,36,0,,,,,2099,58610,17021,809,8,0,2099,397776,78984679,0,0,,,,,,,,,63600,1526846,14463229,42889356,109788,640,843,70315275,8520271,41212,24916,24513,19147,4,2,,,,,,,0,0,0,0,0,0,0
BD00054,1000IBD00054,-1,0,0,3.10;1.88,0.030004683,167244,5406686,0.010933827,125560,11358068,11476930,309398,489174,5429067,5249291,0,0,99.9,101,36.4,0,,,,,1008,65011,14419,180,1,0,1008,102347,60118966,0,0,,,,,,,,,4413,384287,6441208,37127008,102187,518,673,52996781,6960014,21822,29160,28526,22679,0,1,,,,,,,0,0,0,0,0,0,0
BD00058,1000IBD00058,-1,0,0,0.04;0.01,0.000405612,5858,14436528,6.47592E-05,1932,29831646,29809382,882831,1199014,14021860,13705677,0,0,99.3,101,35.7,0,,,,,3463,63065,19638,1440,14,0,3463,257623,102511300,0,0,,,,,,,,,22941,2301015,24291149,76095921,133201,685,880,91285082,11070713,59207,26862,26474,20658,7,6,,,,,,,0,0,0,0,0,0,0
BD00059,1000IBD00059,-1,0,0,0.03;0.01,0.000296541,6006,20247519,2.0869E-05,878,42071154,42041562,1141578,2214772,19879203,18806009,0,0,99.6,101,36.1,0,,,,,3983,79705,21073,1815,40,0,3983,314958,126384509,0,0,,,,,,,,,19712,3986500,33073538,82653870,168454,670,879,112989059,13199474,73121,33545,33252,28536,12,5,,,,,,,0,0,0,0,0,0,0
BD00060,1000IBD00060,-1,0,0,5.40;3.94,0.052386738,549422,9938385,0.021853158,472006,21126978,21569964,1082567,636559,9702415,10148423,0,0,98.4,101,35.1,0,,,,,2242,46223,14330,690,10,0,2242,210770,66688607,0,0,,,,,,,,,9844,1464279,16971365,61201011,90491,658,862,59558443,7041933,35511,20113,19841,15026,5,2,,,,,,,0,0,0,0,0,0,0
BD00063,1000IBD00063,-1,0,0,0.03;0.00,0.000306354,3071,10021295,2.03246E-05,416,20467414,20452786,342364,628409,9884029,9597984,0,0,100,101,36.2,0,,,,,3679,43501,14184,941,12,0,3679,271225,72862966,0,0,,,,,,,,,77290,1943857,16393536,42692166,93314,695,889,64929454,7828264,42759,18486,18256,13813,5,4,,,,,,,0,0,0,0,0,0,0
BD00064,1000IBD00064,-1,0,0,2.95;2.10,0.028738898,329921,11150025,0.010162871,241906,23561014,23782700,608080,1244809,11283270,10646541,0,0,99.7,101,36.1,0,,,,,6896,35218,10418,983,46,0,6896,245871,68701524,0,0,,,,,,,,,9289,1819600,18986247,59712231,85662,711,914,60955389,7636139,43477,15648,15552,10985,6,4,,,,,,,0,0,0,0,0,0,0
BD00066,1000IBD00066,-1,0,0,0.03;0.01,0.000278969,3949,14151742,2.92197E-05,850,29089100,29064390,1086603,835151,13445592,13697044,0,0,98.9,101,35.4,0,,,,,4144,63759,17302,1536,33,0,4144,306329,103531768,0,0,,,,,,,,,18756,2121264,23630764,78352400,138259,665,880,91987862,11393499,61057,28144,28016,21042,11,4,,,,,,,0,0,0,0,0,0,0
BD00067,1000IBD00067,-1,0,0,0.14;0.07,0.001325614,15572,11731435,0.000416258,10280,24685922,24675080,826041,1721832,11511499,10615708,0,0,99.5,101,35.7,0,,,,,3578,51251,14409,1048,32,0,3578,288739,81424008,0,0,,,,,,,,,9773,1958727,19851027,60152754,108147,667,886,72222735,9063085,45365,23228,22958,16596,7,3,,,,,,,0,0,0,0,0,0,0
BD00068,1000IBD00068,-1,0,0,0.63;0.33,0.006080537,39791,6504203,0.001907288,25638,13416488,13428792,298162,519751,6416234,6194645,0,0,99.6,101,35.9,0,,,,,1236,43929,8836,355,1,0,1236,108352,45527833,0,0,,,,,,,,,23686,952789,8434243,25520788,73071,546,763,39961539,5436905,20159,18930,18772,15210,1,1,,,,,,,0,0,0,0,0,0,0
BD00069,1000IBD00069,-1,0,0,0.09;0.05,0.000917156,11870,12930311,0.000249894,6618,26476606,26462378,501439,835625,12729750,12395564,0,0,99.9,101,36.1,0,,,,,2717,53903,17707,966,14,0,2717,440280,82974066,0,0,,,,,,,,,18255,2357454,21953655,60521932,110714,674,857,74669095,8201642,47680,23339,23093,16602,5,4,,,,,,,0,0,0,0,0,0,0
BD00072,1000IBD00072,-1,0,0,0.04;0.01,0.000417251,5343,12799896,3.62399E-05,956,26378822,26358192,990131,824144,12188965,12354952,0,0,99.1,101,35.8,0,,,,,4947,35598,12617,981,28,0,4947,297656,68880130,0,0,,,,,,,,,8812,2260938,21971406,63131322,86708,702,881,60903049,7880454,43499,16313,16231,10665,7,1,,,,,,,0,0,0,0,0,0,0
BD00074,1000IBD00074,-1,0,0,0.03;0.03,0.000303909,2011,6615097,3.76873E-05,512,13584958,13578932,374323,469552,6415143,6319914,0,0,99.8,101,36.4,0,,,,,2009,50598,17530,563,12,0,2009,233584,69945261,0,0,,,,,,,,,8193,556246,10466984,59199486,98680,628,805,61987463,7840671,36204,24047,23965,14464,2,3,,,,,,,0,0,0,0,0,0,0
BD00077,1000IBD00077,-1,0,0,0.05;0.02,0.000455924,6329,13875384,6.65876E-05,1910,28682104,28667180,921714,1073753,13411876,13259837,0,0,99.4,101,36,0,,,,,3199,55571,15972,1042,30,0,3199,257962,87798454,0,0,,,,,,,,,17097,2180401,23996655,77176394,120594,642,841,77529330,10128636,51670,25810,25576,17538,7,1,,,,,,,0,0,0,0,0,0,0
BD00078,1000IBD00078,-1,0,0,3.86;2.92,0.03788607,245583,6236562,0.011929444,158038,13089688,13240096,412052,347265,6207996,6272783,0,0,99.7,101,36.3,0,,,,,3266,38078,9759,765,19,0,3266,419896,57891549,0,0,,,,,,,,,7072,661721,9946558,46480722,80668,631,839,50958278,6829965,34081,17216,17167,12204,5,2,,,,,,,0,0,0,0,0,0,0
BD00082,1000IBD00082,-1,0,0,0.04;0.01,0.000334123,3227,9654884,4.54917E-05,898,19738968,19718368,658477,475294,9200707,9383890,0,0,98.9,101,35.5,0,,,,,3006,45532,11239,761,26,0,3006,712220,67299549,0,0,,,,,,,,,61904,1554324,15284019,46688735,91843,652,877,59973287,7213912,37485,19160,19069,16129,6,3,,,,,,,0,0,0,0,0,0,0
BD00084,1000IBD00084,-1,0,0,0.04;0.01,0.000418097,4415,10555343,6.65337E-05,1454,21852124,21832134,665623,957138,10250444,9958929,0,0,99.2,101,35.6,0,,,,,1402,79150,17987,748,3,0,1402,191454,88354502,0,0,,,,,,,,,9445,1213449,14412772,55542272,135030,584,795,78950064,9218250,41240,33107,32672,28011,4,4,,,,,,,0,0,0,0,0,0,0
BD00086,1000IBD00086,-1,0,0,0.11;0.07,0.001028569,6125,5948753,0.000241109,2950,12232166,12227646,297963,482160,5815860,5631663,0,0,99.9,101,36.5,0,,,,,1670,46675,12545,505,3,0,1670,205141,56967650,0,0,,,,,,,,,5780,526320,8574562,44628184,85046,588,784,50078071,6759257,28029,21264,21232,14521,3,2,,,,,,,0,0,0,0,0,0,0
BD00087,1000IBD00087,-1,0,0,2.13;1.04,0.020509116,197993,9455909,0.007277032,144168,19667206,19794940,417343,763135,9480127,9134335,0,0,99.8,101,35.9,0,,,,,2004,53238,13330,745,13,0,2004,397017,69622355,0,0,,,,,,,,,63760,1415447,13138949,39888067,100699,616,826,62033021,7458501,37031,22737,22551,18380,5,3,,,,,,,0,0,0,0,0,0,0
BD00088,1000IBD00088,-1,0,0,0.34;0.21,0.003243492,18290,5620695,0.001172251,13694,11668102,11671210,466250,441417,5369355,5394188,0,0,99.1,101,35.6,0,,,,,3208,34255,10873,716,6,0,3208,209282,54481213,0,0,,,,,,,,,3724,549897,8761520,41925673,73806,649,836,47933655,6441786,31120,16035,16073,10578,3,3,,,,,,,0,0,0,0,0,0,0
BD00095,1000IBD00095,-1,0,0,0.13;0.06,0.001285824,14564,11312026,0.000354852,8296,23370450,23359498,618166,976562,11061583,10703187,0,0,99.5,101,35.8,0,,,,,1521,79512,18397,688,26,0,1521,999402,93276144,0,0,,,,,,,,,86672,1987376,15886267,41142061,142444,579,789,82558994,10535408,44727,35699,35062,26956,6,3,,,,,,,0,0,0,0,0,0,0
BD00097,1000IBD00097,-1,0,0,0.02;0.00,0.000206083,2475,12007272,1.32208E-05,328,24809036,24782572,1087618,879438,11303668,11511848,0,0,98.8,101,35.1,0,,,,,2251,64024,16614,958,12,0,2251,171230,87023724,0,0,,,,,,,,,10729,1809437,18644562,58256373,122054,635,846,77625319,9271595,45991,26746,26614,22703,7,0,,,,,,,0,0,0,0,0,0,0
BD00099,1000IBD00099,-1,0,0,0.08;0.03,0.000750363,13891,18498480,0.000176293,6692,37952932,37924704,1040257,1164130,17922095,17798222,0,0,99.3,101,35.6,0,,,,,2031,109147,33850,1365,6,0,2031,245643,146858894,0,0,,,,,,,,,112148,3776197,26792077,61060201,208932,624,815,130571115,16044594,77179,49342,49059,33352,6,7,,,,,,,0,0,0,0,0,0,0
BD00100,1000IBD00100,-1,0,0,0.05;0.01,0.000442917,4151,9367802,4.10468E-05,788,19196828,19175008,348396,669155,9239108,8918349,0,0,99.7,101,36.1,0,,,,,5317,25717,11201,807,17,0,5317,151831,57630392,0,0,,,,,,,,,9439,1556526,16482374,51565266,65024,795,967,51710326,5836359,35780,11559,11471,6214,3,1,,,,,,,0,0,0,0,0,0,0
BD00105,1000IBD00105,-1,0,0,0.75;0.47,0.007326895,125883,17055064,0.002792077,98702,35252038,35323900,838327,1330306,16823623,16331644,0,0,99.7,101,35.9,0,,,,,3691,76018,30037,1931,7,0,3691,186326,137487785,0,0,,,,,,,,,32377,3175735,28913874,78369413,170653,720,891,123009701,14268164,81881,33918,33595,21259,4,12,,,,,,,0,0,0,0,0,0,0
BD00106,1000IBD00106,-1,0,0,0.28;0.16,0.002770005,40066,14424170,0.000914523,27058,29559948,29565792,595119,914707,14187777,13868189,0,0,99.7,101,36.1,0,,,,,4094,47451,16957,1212,15,0,4094,167011,86576714,0,0,,,,,,,,,118708,3026073,24006668,59255352,111806,690,871,77241478,9228272,54820,22063,21774,13149,5,5,,,,,,,0,0,0,0,0,0,0
BD00107,1000IBD00107,-1,0,0,0.05;0.02,0.000489481,5513,11257444,4.93364E-05,1134,22983918,22969044,460707,582271,11023815,10902251,0,0,99.8,101,36.1,0,,,,,3034,52495,13860,1050,15,0,3034,280433,77892783,0,0,,,,,,,,,76347,1983813,17949624,50927732,105756,657,859,69518334,8226536,45579,21665,21127,17385,6,2,,,,,,,0,0,0,0,0,0,0
BD00108,1000IBD00108,-1,0,0,0.08;0.06,0.000812055,5734,7055368,0.000185338,2712,14630014,14620328,671854,552357,6638310,6757807,0,0,99.3,101,35.8,0,,,,,1963,38205,10162,511,16,0,1963,352426,52384506,0,0,,,,,,,,,11953,995759,12129964,44604130,74601,626,862,46742112,5549654,27404,17714,17591,11892,3,3,,,,,,,0,0,0,0,0,0,0
BD00109,1000IBD00109,-1,0,0,0.03;0.02,0.000251164,2651,10552187,2.4036E-05,528,21966520,21950900,866078,1087462,10109372,9887988,0,0,99.7,101,35.9,0,,,,,2892,56320,15022,1169,13,0,2892,226997,83313683,0,0,,,,,,,,,17268,1277062,16984021,68404006,113378,653,874,74128168,9056889,46101,24237,24047,18993,9,3,,,,,,,0,0,0,0,0,0,0
BD00111,1000IBD00111,-1,0,0,0.08;0.04,0.000762388,8056,10558739,0.000108694,2350,21617990,21598882,510302,552907,10289139,10246534,0,0,99.3,101,36,0,,,,,2815,44060,15769,834,9,0,2815,293097,70376787,0,0,,,,,,,,,11772,1595495,17972737,60851756,92785,682,850,63319964,6925530,41372,19557,19305,12551,3,3,,,,,,,0,0,0,0,0,0,0
BD00112,1000IBD00112,-1,0,0,0.05;0.02,0.000462655,6021,13007983,9.18318E-05,2476,26959854,26942986,1151751,1004286,12319742,12467207,0,0,98.9,101,35.6,0,,,,,3524,66543,20447,1525,16,0,3524,420213,108083940,0,0,,,,,,,,,11707,1794864,21224784,73474795,144001,664,861,95750318,12149583,62224,30256,30007,21514,9,3,,,,,,,0,0,0,0,0,0,0
BD00114,1000IBD00114,-1,0,0,0.04;0.01,0.000325012,4949,15222176,5.01567E-05,1556,31021190,30973890,2823283,473501,12663662,15013444,0,0,96.9,101,34.6,0,,,,,8116,32628,12444,1432,12,0,8116,189173,75452249,0,0,,,,,,,,,15692,2820563,26474754,75139696,87659,772,947,67699606,7656008,50691,14077,14116,8775,6,5,,,,,,,0,0,0,0,0,0,0
BD00119,1000IBD00119,-1,0,0,0.07;0.02,0.000682423,5541,8114052,0.0001132,1878,16588300,16572908,299153,501554,7987301,7784900,0,0,99.8,101,36.1,0,,,,,1633,55003,15339,530,9,0,1633,136430,67594798,0,0,,,,,,,,,36020,1397647,12562470,35159029,100522,597,769,60018689,7461451,33989,24724,24344,17465,3,2,,,,,,,0,0,0,0,0,0,0
BD00121,1000IBD00121,-1,0,0,0.03;0.01,0.00028186,3684,13066654,2.3078E-05,622,26951416,26923852,600479,1375302,12861447,12086624,0,0,99.6,101,35.9,0,,,,,1185,102501,23150,709,10,0,1185,176321,106677036,0,0,,,,,,,,,11297,1848000,18487029,58070703,166181,574,773,95552314,10914223,43804,42116,42001,38260,6,1,,,,,,,0,0,0,0,0,0,0
BD00122,1000IBD00122,-1,0,0,0.05;0.02,0.000508556,4562,8965930,8.81851E-05,1644,18640954,18626680,563648,967596,8749692,8345744,0,0,99.2,101,35.7,0,,,,,2019,54780,15055,784,3,0,2019,121129,71958031,0,0,,,,,,,,,11900,1137272,13495925,50227008,102689,622,831,63974350,7852478,38086,23634,23406,17563,4,3,,,,,,,0,0,0,0,0,0,0
BD00123,1000IBD00123,-1,0,0,0.04;0.03,0.000425247,4559,10716263,6.18097E-05,1358,21969316,21957708,521144,752184,10457710,10226670,0,0,99.9,101,36.6,0,,,,,1783,66107,18471,724,7,0,1783,401006,83581902,0,0,,,,,,,,,11780,1396066,16852868,61628115,122088,602,800,73541883,9861266,41788,29896,29557,20847,2,2,,,,,,,0,0,0,0,0,0,0
BD00125,1000IBD00125,-1,0,0,0.68;0.49,0.006641279,96706,14464645,0.002748972,83180,30175400,30237302,851370,1633941,14267281,13484710,0,0,99.6,101,36.1,0,,,,,3263,75643,24819,1553,25,0,3263,218515,124090759,0,0,,,,,,,,,15694,2316242,24154584,75119902,165407,666,862,110271328,13623911,71595,35697,35626,22489,7,8,,,,,,,0,0,0,0,0,0,0
BD00126,1000IBD00126,-1,0,0,0.04;0.01,0.000422621,4226,9995278,3.8485E-05,786,20422766,20409112,346185,636789,9858371,9567767,0,0,100,101,36.3,0,,,,,4329,26502,8530,635,19,0,4329,358001,47182553,0,0,,,,,,,,,79501,2282737,16682588,38042716,60627,696,885,42199224,4925906,29697,11626,11510,7794,3,3,,,,,,,0,0,0,0,0,0,0
