Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	IndividualID	Cohort
ERR4158228	ERR4158228	ERR4158229	ERR4158228	ERR4158228	ERR4158229	ERR4158229	ERR4158228	ERR4158229	ERR4158229	ERR4158229	ERR4158229	ERR4158228	ERR4158229	ERR4158228	ERR4158228	ERR4158229	ERR4158228	ERR4158228	ERR4158229	Fang100086	Fang_UCSD_IBD_Biobank
ERR4158232	ERR4158231	ERR4158231	ERR4158231	ERR4158230	ERR4158231	ERR4158232	ERR4158232	ERR4158231	ERR4158232	ERR4158231	ERR4158230	ERR4158230	ERR4158231	ERR4158232	ERR4158231	ERR4158230	ERR4158232	ERR4158232	ERR4158230	Fang100087	Fang_UCSD_IBD_Biobank
ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	ERR4158233	Fang100088	Fang_UCSD_IBD_Biobank
ERR4158235	ERR4158236	ERR4158234	ERR4158235	ERR4158234	ERR4158236	ERR4158234	ERR4158235	ERR4158235	ERR4158235	ERR4158236	ERR4158236	ERR4158234	ERR4158236	ERR4158234	ERR4158234	ERR4158234	ERR4158236	ERR4158234	ERR4158236	Fang100089	Fang_UCSD_IBD_Biobank
ERR4158237	ERR4158240	ERR4158241	ERR4158238	ERR4158241	ERR4158237	ERR4158241	ERR4158237	ERR4158239	ERR4158238	ERR4158237	ERR4158239	ERR4158239	ERR4158237	ERR4158241	ERR4158237	ERR4158239	ERR4158240	ERR4158239	ERR4158238	Fang100090	Fang_UCSD_IBD_Biobank
ERR4158245	ERR4158245	ERR4158245	ERR4158243	ERR4158242	ERR4158244	ERR4158242	ERR4158242	ERR4158245	ERR4158245	ERR4158244	ERR4158244	ERR4158242	ERR4158245	ERR4158243	ERR4158242	ERR4158245	ERR4158244	ERR4158243	ERR4158244	Fang100092	Fang_UCSD_IBD_Biobank
ERR4158248	ERR4158247	ERR4158247	ERR4158247	ERR4158248	ERR4158246	ERR4158247	ERR4158246	ERR4158247	ERR4158246	ERR4158247	ERR4158248	ERR4158246	ERR4158248	ERR4158246	ERR4158247	ERR4158246	ERR4158246	ERR4158246	ERR4158246	Fang100093	Fang_UCSD_IBD_Biobank
ERR4158251	ERR4158249	ERR4158250	ERR4158249	ERR4158251	ERR4158249	ERR4158250	ERR4158251	ERR4158250	ERR4158249	ERR4158250	ERR4158251	ERR4158249	ERR4158249	ERR4158249	ERR4158249	ERR4158251	ERR4158250	ERR4158250	ERR4158250	Fang100096	Fang_UCSD_IBD_Biobank
ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	ERR4158252	Fang100101	Fang_UCSD_IBD_Biobank
ERR4158253	ERR4158255	ERR4158253	ERR4158255	ERR4158256	ERR4158254	ERR4158255	ERR4158253	ERR4158255	ERR4158255	ERR4158256	ERR4158254	ERR4158256	ERR4158255	ERR4158254	ERR4158254	ERR4158254	ERR4158256	ERR4158256	ERR4158254	Fang100104	Fang_UCSD_IBD_Biobank
ERR4158259	ERR4158258	ERR4158259	ERR4158258	ERR4158257	ERR4158259	ERR4158258	ERR4158257	ERR4158259	ERR4158258	ERR4158258	ERR4158257	ERR4158257	ERR4158259	ERR4158257	ERR4158258	ERR4158258	ERR4158258	ERR4158258	ERR4158259	Fang100105	Fang_UCSD_IBD_Biobank
ERR4158261	ERR4158260	ERR4158262	ERR4158261	ERR4158261	ERR4158261	ERR4158261	ERR4158262	ERR4158262	ERR4158262	ERR4158260	ERR4158261	ERR4158260	ERR4158261	ERR4158261	ERR4158261	ERR4158260	ERR4158261	ERR4158262	ERR4158262	Fang100107	Fang_UCSD_IBD_Biobank
ERR4158265	ERR4158263	ERR4158265	ERR4158263	ERR4158266	ERR4158264	ERR4158265	ERR4158263	ERR4158265	ERR4158264	ERR4158265	ERR4158264	ERR4158264	ERR4158266	ERR4158263	ERR4158264	ERR4158264	ERR4158264	ERR4158263	ERR4158264	Fang100108	Fang_UCSD_IBD_Biobank
ERR4158269	ERR4158267	ERR4158268	ERR4158269	ERR4158269	ERR4158269	ERR4158269	ERR4158267	ERR4158268	ERR4158269	ERR4158267	ERR4158269	ERR4158268	ERR4158268	ERR4158267	ERR4158269	ERR4158269	ERR4158268	ERR4158269	ERR4158269	Fang100110	Fang_UCSD_IBD_Biobank
ERR4158271	ERR4158270	ERR4158270	ERR4158271	ERR4158270	ERR4158270	ERR4158271	ERR4158271	ERR4158270	ERR4158271	ERR4158270	ERR4158271	ERR4158271	ERR4158270	ERR4158271	ERR4158271	ERR4158270	ERR4158270	ERR4158271	ERR4158271	Fang100111	Fang_UCSD_IBD_Biobank
ERR4158275	ERR4158273	ERR4158273	ERR4158275	ERR4158275	ERR4158273	ERR4158274	ERR4158275	ERR4158274	ERR4158275	ERR4158275	ERR4158274	ERR4158273	ERR4158275	ERR4158272	ERR4158272	ERR4158274	ERR4158273	ERR4158274	ERR4158273	Fang100112	Fang_UCSD_IBD_Biobank
ERR4158278	ERR4158277	ERR4158278	ERR4158278	ERR4158276	ERR4158276	ERR4158277	ERR4158276	ERR4158277	ERR4158278	ERR4158276	ERR4158277	ERR4158277	ERR4158277	ERR4158278	ERR4158278	ERR4158277	ERR4158278	ERR4158276	ERR4158276	Fang100114	Fang_UCSD_IBD_Biobank
ERR4158279	ERR4158279	ERR4158279	ERR4158279	ERR4158281	ERR4158279	ERR4158281	ERR4158281	ERR4158279	ERR4158280	ERR4158281	ERR4158279	ERR4158280	ERR4158281	ERR4158281	ERR4158279	ERR4158281	ERR4158281	ERR4158281	ERR4158280	Fang100115	Fang_UCSD_IBD_Biobank
ERR4158282	ERR4158282	ERR4158283	ERR4158282	ERR4158282	ERR4158283	ERR4158283	ERR4158282	ERR4158282	ERR4158282	ERR4158282	ERR4158283	ERR4158283	ERR4158282	ERR4158283	ERR4158282	ERR4158282	ERR4158282	ERR4158283	ERR4158283	Fang100117	Fang_UCSD_IBD_Biobank
ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	ERR4158284	Fang100119	Fang_UCSD_IBD_Biobank
ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	ERR4158285	Fang100120	Fang_UCSD_IBD_Biobank
ERR4158287	ERR4158286	ERR4158286	ERR4158286	ERR4158286	ERR4158286	ERR4158286	ERR4158287	ERR4158287	ERR4158287	ERR4158287	ERR4158287	ERR4158287	ERR4158286	ERR4158286	ERR4158286	ERR4158287	ERR4158287	ERR4158286	ERR4158287	Fang100121	Fang_UCSD_IBD_Biobank
ERR4158290	ERR4158288	ERR4158288	ERR4158290	ERR4158289	ERR4158288	ERR4158289	ERR4158289	ERR4158290	ERR4158290	ERR4158288	ERR4158290	ERR4158289	ERR4158289	ERR4158289	ERR4158288	ERR4158288	ERR4158288	ERR4158289	ERR4158289	Fang100122	Fang_UCSD_IBD_Biobank
ERR4158291	ERR4158292	ERR4158291	ERR4158291	ERR4158291	ERR4158291	ERR4158291	ERR4158291	ERR4158292	ERR4158292	ERR4158292	ERR4158291	ERR4158291	ERR4158292	ERR4158292	ERR4158292	ERR4158291	ERR4158291	ERR4158291	ERR4158292	Fang100124	Fang_UCSD_IBD_Biobank
ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	ERR4158293	Fang100125	Fang_UCSD_IBD_Biobank
ERR4158295	ERR4158295	ERR4158295	ERR4158294	ERR4158294	ERR4158295	ERR4158294	ERR4158294	ERR4158295	ERR4158294	ERR4158294	ERR4158295	ERR4158294	ERR4158295	ERR4158295	ERR4158294	ERR4158295	ERR4158295	ERR4158295	ERR4158295	Fang100127	Fang_UCSD_IBD_Biobank
